POC,X,Y,W,D,dQP,PRED_MODE,PU_SIZE,BITS,DISTORTION,BEST_COST,SAD,SSE,MSE,COST_2Nx2N,COST_MSM,RATIO_2Nx2N-MSM,REL_RATIO_2Nx2N-MSM,RATIO_BEST_2Nx2N,RATIO_BEST-MSM,REL_RATIO_BEST-MSM,TU_DEPTH,TR_SKIP,NON-Z-COEFF,TIME_ms,REF_IDX,MV_MOD_INT,MV_MOD_FRAC,PREDMV_MOD_INT,PREDMV_MOD_FRAC,MVD_MOD_INT,MVD_MOD_FRAC,MVP_IDX,INTER_DIR,FME,COLOC_SPLIT,UP_SPLIT,LEFT_SPLIT,UPLEFT_SPLIT,UPRIGHT_SPLIT,CTX_SPLIT,AVG_NEIGH_DEPTH,SVM_PU_UP,SVM_TU_UP,SVM_FME_UP,SVM_CU,SVM_PU,SVM_TU,SVM_FME,FINAL_PU,FINAL_TU,FINAL_FME,SPLIT
4.000000,96.000000,80.000000,16.000000,2.000000,0.000000,0.000000,0.000000,2.000000,9131.000000,10579.345600,0.000000,0.000000,0.000000,13920.555200,10579.345600,1.315824,0.315824,0.759980,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,8.062258,0.500000,8.062258,0.500000,0.000000,0.000000,-1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.065264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000
4.000000,112.000000,80.000000,16.000000,2.000000,0.000000,0.000000,0.000000,2.000000,9232.000000,10680.345600,0.000000,0.000000,0.000000,18107.728000,10680.345600,1.695425,0.695425,0.589823,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,7.071068,0.790569,7.071068,0.790569,0.000000,0.000000,-1.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.065264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2.000000,0.000000
4.000000,64.000000,96.000000,32.000000,1.000000,0.000000,2.000000,0.000000,70.000000,153318.000000,204010.096000,0.000000,0.000000,0.000000,204010.096000,340337.475200,0.599435,-0.400565,1.000000,0.599435,-0.400565,1.000000,0.000000,4.000000,0.000000,0.000000,10.440307,0.901388,12.649111,1.060660,2.236068,0.250000,0.000000,3.000000,2.000000,2.000000,1.000000,1.000000,1.000000,1.000000,6.000000,1.065264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,7.000000,0.000000,2.000000,1.000000
4.000000,64.000000,96.000000,16.000000,2.000000,0.000000,0.000000,0.000000,1.000000,9204.000000,9928.172800,0.000000,0.000000,0.000000,15863.382400,9928.172800,1.597815,0.597815,0.625855,1.000000,0.000000,0.000000,0.000000,4.000000,0.000000,1.000000,7.071068,0.790569,7.071068,0.790569,0.000000,0.000000,-1.000000,3.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.065264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2.000000,0.000000
4.000000,80.000000,96.000000,16.000000,2.000000,0.000000,2.000000,0.000000,42.000000,71146.000000,101561.257600,0.000000,0.000000,0.000000,109508.996800,101561.257600,1.078256,0.078256,0.927424,1.000000,0.000000,0.000000,0.000000,3.000000,0.000000,1.000000,8.062258,0.500000,8.062258,0.500000,0.000000,0.000000,-1.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.065264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,2.000000,1.000000
4.000000,80.000000,96.000000,8.000000,3.000000,0.000000,0.000000,0.000000,3.000000,8181.000000,10353.518400,0.000000,0.000000,0.000000,13974.382400,10353.518400,1.349723,0.349723,0.740893,1.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,9.219544,0.750000,9.219544,0.750000,0.000000,0.000000,-1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.065264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2.000000,0.000000
4.000000,88.000000,96.000000,8.000000,3.000000,0.000000,2.000000,0.000000,25.000000,4757.000000,22861.320000,0.000000,0.000000,0.000000,22861.320000,31689.518400,0.721416,-0.278584,1.000000,0.721416,-0.278584,0.000000,0.000000,1.000000,0.000000,1.000000,9.433981,0.750000,12.041595,0.000000,5.000000,0.250000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.065264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
4.000000,80.000000,104.000000,8.000000,3.000000,0.000000,0.000000,0.000000,3.000000,3867.000000,6039.518400,0.000000,0.000000,0.000000,12321.073600,6039.518400,2.040076,1.040076,0.490178,1.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,9.219544,0.750000,9.219544,0.750000,0.000000,0.000000,-1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.065264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2.000000,0.000000
4.000000,88.000000,104.000000,8.000000,3.000000,0.000000,2.000000,0.000000,38.000000,24904.000000,52422.566400,0.000000,0.000000,0.000000,52422.566400,56202.184000,0.932750,-0.067250,1.000000,0.932750,-0.067250,0.000000,0.000000,3.000000,0.000000,1.000000,7.071068,0.901388,4.242641,0.500000,3.162278,0.901388,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.065264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
4.000000,64.000000,112.000000,16.000000,2.000000,0.000000,1.000000,0.000000,20.000000,15099.000000,29582.456000,0.000000,0.000000,0.000000,29582.456000,62054.320000,0.476719,-0.523281,1.000000,0.476719,-0.523281,0.000000,0.000000,1.000000,0.000000,0.000000,11.401754,0.500000,13.000000,0.250000,1.414214,0.559017,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.065264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000
